id	contig
ABJ60921	BD_contigs_contig_100710
ABJ60952	BD_contigs_contig_110194
ABJ60957	BD_contigs_contig_110548
ABJ60963	BD_contigs_contig_109939
ABJ60993	BD_contigs_contig_103335
ABJ61017	BD_contigs_contig_108357
ABJ61017	BD_contigs_contig_108357
ABJ61052	BD_contigs_contig_109927
ABJ61069	BD_contigs_contig_108617
ABJ61097	BD_contigs_contig_105563
ABJ61097	BD_contigs_contig_108214
ABJ61097	BD_contigs_contig_108214
ABJ61125	BD_contigs_contig_108857
ABJ61129	BD_contigs_contig_107918
ABM63348	BD_contigs_contig_10960
ABM63352	BD_contigs_contig_86865
ABQ83610	BD_contigs_contig_108690
ABV09131	BD_contigs_contig_53900
ABV09131	BD_contigs_contig_32456
ABV09849	BD_contigs_contig_94879
ABV09987	BD_contigs_contig_40062
ABV10043	BD_contigs_contig_68176
ABV10675	BD_contigs_contig_65019
ABV10914	BD_contigs_contig_54451
ABV11040	BD_contigs_contig_2769
ABV11148	BD_contigs_contig_44504
ABX26049	BD_contigs_contig_70205
ACA14306	BD_contigs_contig_112150
ACA14306	BD_contigs_contig_112150
ACA30301	BD_contigs_contig_6493
ACB90628	BD_contigs_contig_42218
ACF37493	BD_contigs_contig_109951
ACH91636	BD_contigs_contig_94068
ACR18021	BD_contigs_contig_86454
ACS97142	BD_contigs_contig_8950
ACS97142	BD_contigs_contig_8948
ACS97194	BD_contigs_contig_29763
ACS97194	BD_contigs_contig_29763
ACS97357	BD_contigs_contig_65037
ACS97903	BD_contigs_contig_9300
ACT97617	BD_contigs_contig_63251
ACU91841	BD_contigs_contig_17654
ACU91841	BD_contigs_contig_10685
ACU91930	BD_contigs_contig_91936
ACU92277	BD_contigs_contig_61971
ACU92557	BD_contigs_contig_64355
ACU92567	BD_contigs_contig_87008
ACU92628	BD_contigs_contig_48823
ACU92628	BD_contigs_contig_23816
ACU92882	BD_contigs_contig_61295
ACU93605	BD_contigs_contig_64330
ACV21084	BD_contigs_contig_107591
ACV21084	BD_contigs_contig_107591
ACV37976	BD_contigs_contig_66814
ACV38138	BD_contigs_contig_63621
ACV38138	BD_contigs_contig_14634
ACV38988	BD_contigs_contig_97116
ACV39151	BD_contigs_contig_11198
ACV39427	BD_contigs_contig_47914
ACV39427	BD_contigs_contig_47923
ACV39512	BD_contigs_contig_97519
ACV39512	BD_contigs_contig_97519
ACV39785	BD_contigs_contig_21468
ACV39836	BD_contigs_contig_17049
ACV39860	BD_contigs_contig_68635
ACV39953	BD_contigs_contig_27383
ACV40150	BD_contigs_contig_11534
ACV40150	BD_contigs_contig_14487
ACV50524	BD_contigs_contig_44362
ACV50579	BD_contigs_contig_65713
ACV50591	BD_contigs_contig_110669
ACV50768	BD_contigs_contig_102578
ACV50920	BD_contigs_contig_96044
ACV51230	BD_contigs_contig_63414
ACV51368	BD_contigs_contig_60321
ACX80401	BD_contigs_contig_91505
ACZ23726	BD_contigs_contig_35690
ACZ24690	BD_contigs_contig_114299
ACZ25423	BD_contigs_contig_26748
ACZ25532	BD_contigs_contig_11411
ADB08756	BD_contigs_contig_10480
ADB09022	BD_contigs_contig_28900
ADB09046	BD_contigs_contig_105349
ADB09046	BD_contigs_contig_33001
ADB09308	BD_contigs_contig_8293
ADB09514	BD_contigs_contig_105863
ADB09534	BD_contigs_contig_70967
ADB10100	BD_contigs_contig_20967
ADB10123	BD_contigs_contig_43911
ADB10131	BD_contigs_contig_67359
ADB10192	BD_contigs_contig_8078
ADB10283	BD_contigs_contig_105816
ADB10349	BD_contigs_contig_105571
ADB10477	BD_contigs_contig_105763
ADB10612	BD_contigs_contig_100036
ADB10742	BD_contigs_contig_86376
ADG46310	BD_contigs_contig_9789
ADG46776	BD_contigs_contig_7746
ADG99910	BD_contigs_contig_109424
ADI17934	BD_contigs_contig_3885
ADI18832	BD_contigs_contig_7191
ADI69700	BD_contigs_contig_86784
ADI70099	BD_contigs_contig_22109
ADJ40999	BD_contigs_contig_94252
ADJ41106	BD_contigs_contig_111495
ADJ41495	BD_contigs_contig_108312
ADJ41608	BD_contigs_contig_105047
ADJ41715	BD_contigs_contig_109708
ADJ78811	BD_contigs_contig_80721
ADJ79431	BD_contigs_contig_11822
ADJ79856	BD_contigs_contig_108547
ADJ79871	BD_contigs_contig_109762
ADK68430	BD_contigs_contig_22608
ADK68466	BD_contigs_contig_108731
ADK95451	BD_contigs_contig_66489
ADK95493	BD_contigs_contig_62088
ADK95791	BD_contigs_contig_73097
ADK95791	BD_contigs_contig_37974
ADK95857	BD_contigs_contig_57823
ADK95866	BD_contigs_contig_49039
ADK96075	BD_contigs_contig_46594
ADK96113	BD_contigs_contig_20305
ADK96569	BD_contigs_contig_1774
ADK96569	BD_contigs_contig_1774
ADK96598	BD_contigs_contig_6621
ADK96661	BD_contigs_contig_16331
ADK96949	BD_contigs_contig_70318
ADK96965	BD_contigs_contig_5589
ADK96965	BD_contigs_contig_5589
ADK97077	BD_contigs_contig_24089
ADK97077	BD_contigs_contig_24090
ADK97121	BD_contigs_contig_44115
ADK97149	BD_contigs_contig_33299
ADK97241	BD_contigs_contig_34097
ADK97241	BD_contigs_contig_1688
ADK97332	BD_contigs_contig_33313
ADK97436	BD_contigs_contig_41201
ADP39479	BD_contigs_contig_82097
ADP39668	BD_contigs_contig_83480
ADP39771	BD_contigs_contig_14432
ADP39771	BD_contigs_contig_13665
ADP39771	BD_contigs_contig_13665
ADP39832	BD_contigs_contig_80002
ADP39870	BD_contigs_contig_75882
ADP40158	BD_contigs_contig_99704
ADP40166	BD_contigs_contig_72754
ADP40213	BD_contigs_contig_63383
ADP40250	BD_contigs_contig_85662
ADP40461	BD_contigs_contig_76926
ADP40662	BD_contigs_contig_91627
ADP40718	BD_contigs_contig_86705
ADP40788	BD_contigs_contig_86775
ADP40816	BD_contigs_contig_98190
ADP40816	BD_contigs_contig_89483
ADP40836	BD_contigs_contig_97484
ADP40865	BD_contigs_contig_86140
ADP40869	BD_contigs_contig_97141
ADP40931	BD_contigs_contig_93398
ADP40951	BD_contigs_contig_9386
ADP40951	BD_contigs_contig_49609
ADP41079	BD_contigs_contig_79408
ADP41091	BD_contigs_contig_94670
ADP41091	BD_contigs_contig_96364
ADP41158	BD_contigs_contig_100801
ADP41264	BD_contigs_contig_86181
ADP41264	BD_contigs_contig_86181
ADP41312	BD_contigs_contig_103842
ADP41427	BD_contigs_contig_85514
ADP41436	BD_contigs_contig_103363
ADP41457	BD_contigs_contig_94542
ADP41457	BD_contigs_contig_99594
ADP41458	BD_contigs_contig_85653
ADP41479	BD_contigs_contig_87225
ADP41479	BD_contigs_contig_13250
ADP41552	BD_contigs_contig_19585
ADP41585	BD_contigs_contig_80235
ADP41616	BD_contigs_contig_39891
ADP41666	BD_contigs_contig_73580
ADP41666	BD_contigs_contig_73580
ADQ81251	BD_contigs_contig_80314
ADQ82717	BD_contigs_contig_81550
ADW16162	BD_contigs_contig_83017
ADW16172	BD_contigs_contig_29714
ADW16482	BD_contigs_contig_91566
ADW16493	BD_contigs_contig_53697
ADW16752	BD_contigs_contig_94943
ADW16819	BD_contigs_contig_65593
ADW16819	BD_contigs_contig_65593
ADW16946	BD_contigs_contig_65867
ADW16946	BD_contigs_contig_65854
ADW16946	BD_contigs_contig_65862
ADW16950	BD_contigs_contig_17425
ADW16987	BD_contigs_contig_55762
ADW17098	BD_contigs_contig_45488
ADW17149	BD_contigs_contig_90160
ADW17585	BD_contigs_contig_47142
ADW17658	BD_contigs_contig_34293
ADW17800	BD_contigs_contig_82485
ADW18012	BD_contigs_contig_62118
ADW18501	BD_contigs_contig_39207
ADW18671	BD_contigs_contig_83396
ADW18671	BD_contigs_contig_83396
ADW18694	BD_contigs_contig_27413
ADW18970	BD_contigs_contig_63375
ADW19017	BD_contigs_contig_28364
ADW19046	BD_contigs_contig_82502
ADW19073	BD_contigs_contig_41700
ADW19382	BD_contigs_contig_61969
ADW19435	BD_contigs_contig_52487
ADW19435	BD_contigs_contig_52486
ADX69401	BD_contigs_contig_69297
ADX69655	BD_contigs_contig_107762
ADX70496	BD_contigs_contig_107839
ADX71189	BD_contigs_contig_106999
ADY85484	BD_contigs_contig_106818
ADZ07949	BD_contigs_contig_113760
ADZ81951	BD_contigs_contig_49687
AEA20066	BD_contigs_contig_13113
AEA20066	BD_contigs_contig_8096
AEA20124	BD_contigs_contig_94222
AEA20146	BD_contigs_contig_66543
AEA20189	BD_contigs_contig_24395
AEA20189	BD_contigs_contig_41891
AEA20260	BD_contigs_contig_60735
AEA20260	BD_contigs_contig_58085
AEA20379	BD_contigs_contig_60799
AEA20468	BD_contigs_contig_39318
AEA20478	BD_contigs_contig_60027
AEA20537	BD_contigs_contig_54702
AEA20621	BD_contigs_contig_17331
AEA20732	BD_contigs_contig_32564
AEA20974	BD_contigs_contig_55640
AEA20981	BD_contigs_contig_37030
AEA21071	BD_contigs_contig_31429
AEA21071	BD_contigs_contig_67346
AEA21083	BD_contigs_contig_55889
AEA21083	BD_contigs_contig_18548
AEA21161	BD_contigs_contig_23909
AEA21194	BD_contigs_contig_35933
AEA21201	BD_contigs_contig_18232
AEA21308	BD_contigs_contig_16770
AEA21327	BD_contigs_contig_85467
AEA21393	BD_contigs_contig_109554
AEA21402	BD_contigs_contig_74754
AEA21404	BD_contigs_contig_18748
AEA21404	BD_contigs_contig_53089
AEA21457	BD_contigs_contig_42606
AEA21560	BD_contigs_contig_47986
AEA21621	BD_contigs_contig_54868
AEA21793	BD_contigs_contig_21394
AEA21803	BD_contigs_contig_81630
AEA21836	BD_contigs_contig_18841
AEA21905	BD_contigs_contig_11065
AEA21935	BD_contigs_contig_82629
AEA22033	BD_contigs_contig_94740
AEA22033	BD_contigs_contig_94740
AEA22033	BD_contigs_contig_95647
AEA22044	BD_contigs_contig_61838
AEA22207	BD_contigs_contig_11561
AEA22207	BD_contigs_contig_31307
AEA52652	BD_contigs_contig_104310
AEA53883	BD_contigs_contig_112916
AEA56863	BD_contigs_contig_20275
AEA56863	BD_contigs_contig_17822
AEA56984	BD_contigs_contig_109811
AEA56984	BD_contigs_contig_112280
AEA56984	BD_contigs_contig_114307
AEA56984	BD_contigs_contig_12949
AEB13697	BD_contigs_contig_102283
AEB99069	BD_contigs_contig_31061
AEB99069	BD_contigs_contig_81215
AEB99160	BD_contigs_contig_96877
AEB99180	BD_contigs_contig_90356
AEB99562	BD_contigs_contig_56346
AEB99667	BD_contigs_contig_56112
AEB99685	BD_contigs_contig_57730
AEB99725	BD_contigs_contig_29438
AEB99854	BD_contigs_contig_43083
AEB99868	BD_contigs_contig_82521
AEB99883	BD_contigs_contig_65560
AEB99995	BD_contigs_contig_29338
AEC00005	BD_contigs_contig_52765
AEC00055	BD_contigs_contig_45776
AEC00080	BD_contigs_contig_3868
AEC00156	BD_contigs_contig_80267
AEC00156	BD_contigs_contig_83725
AEC00242	BD_contigs_contig_78812
AEC00347	BD_contigs_contig_24225
AEC00349	BD_contigs_contig_37179
AEC00349	BD_contigs_contig_48766
AEC00352	BD_contigs_contig_68017
AEC00641	BD_contigs_contig_31050
AEC00667	BD_contigs_contig_22727
AEC00783	BD_contigs_contig_55253
AEC00850	BD_contigs_contig_35223
AEC00852	BD_contigs_contig_35234
AEC00992	BD_contigs_contig_31388
AEG40150	BD_contigs_contig_91799
AEG40150	BD_contigs_contig_107467
AEG40150	BD_contigs_contig_107478
AEG40150	BD_contigs_contig_107830
AEG40150	BD_contigs_contig_64025
AEH55157	BD_contigs_contig_85751
AEH55309	BD_contigs_contig_87064
AEH55370	BD_contigs_contig_94216
AEH55896	BD_contigs_contig_51650
AEH56018	BD_contigs_contig_69430
AEH56103	BD_contigs_contig_90738
AEH56139	BD_contigs_contig_27913
AEH56343	BD_contigs_contig_17288
AEH56425	BD_contigs_contig_55105
AEH56600	BD_contigs_contig_68454
AEH56740	BD_contigs_contig_23611
AEH56871	BD_contigs_contig_79526
AEH56889	BD_contigs_contig_87674
AEJ19371	BD_contigs_contig_88355
AEJ20357	BD_contigs_contig_31879
AEJ52840	BD_contigs_contig_76359
AEJ53032	BD_contigs_contig_65546
AEJ88204	BD_contigs_contig_94568
AEJ88204	BD_contigs_contig_90062
AEK24510	BD_contigs_contig_66707
AEO00848	BD_contigs_contig_104322
AEW19736	BD_contigs_contig_103149
AEW19736	BD_contigs_contig_103149
AEW19792	BD_contigs_contig_95252
AEW19922	BD_contigs_contig_88112
AEW20042	BD_contigs_contig_18052
AEW20199	BD_contigs_contig_31645
AEW20199	BD_contigs_contig_36031
AEW20215	BD_contigs_contig_45623
AEW20215	BD_contigs_contig_45623
AEW20317	BD_contigs_contig_11254
AEW20339	BD_contigs_contig_56541
AEW20416	BD_contigs_contig_59761
AEW20462	BD_contigs_contig_91862
AEW20490	BD_contigs_contig_36429
AEW20547	BD_contigs_contig_83898
AEW20547	BD_contigs_contig_83898
AEW20591	BD_contigs_contig_13616
AEW20622	BD_contigs_contig_66684
AEW20653	BD_contigs_contig_39579
AEW20653	BD_contigs_contig_29997
AEW20653	BD_contigs_contig_42574
AEW20710	BD_contigs_contig_98938
AEW20826	BD_contigs_contig_22693
AEW20826	BD_contigs_contig_22700
AEW20973	BD_contigs_contig_69758
AEW20973	BD_contigs_contig_31968
AEW20979	BD_contigs_contig_8225
AEW21078	BD_contigs_contig_52079
AEW21083	BD_contigs_contig_97894
AEW21131	BD_contigs_contig_31059
AEW21202	BD_contigs_contig_66015
AEW21225	BD_contigs_contig_76166
AEW21402	BD_contigs_contig_89657
AEW21447	BD_contigs_contig_31896
AEW21692	BD_contigs_contig_100025
AEW21982	BD_contigs_contig_3192
AEW21987	BD_contigs_contig_16386
AEW21987	BD_contigs_contig_16386
AEW22141	BD_contigs_contig_877
AEW22147	BD_contigs_contig_72027
AEW22308	BD_contigs_contig_89991
AEW22384	BD_contigs_contig_78736
AEW22410	BD_contigs_contig_16655
AEW22426	BD_contigs_contig_51293
AEW22440	BD_contigs_contig_85701
AEW22444	BD_contigs_contig_43933
AEW22486	BD_contigs_contig_23972
AEW22496	BD_contigs_contig_1176
AEW22507	BD_contigs_contig_25771
AEW22533	BD_contigs_contig_82456
AEW22560	BD_contigs_contig_42412
AEW22560	BD_contigs_contig_42412
AEW76747	BD_contigs_contig_79861
AEW77716	BD_contigs_contig_95843
AFJ07628	BD_contigs_contig_103709
AFJ08960	BD_contigs_contig_102140
AFJ09073	BD_contigs_contig_10640
AFJ25069	BD_contigs_contig_66397
AFJ25094	BD_contigs_contig_11548
AFJ25094	BD_contigs_contig_11548
AFJ25141	BD_contigs_contig_78655
AFJ25144	BD_contigs_contig_110875
AFJ25227	BD_contigs_contig_52846
AFJ25284	BD_contigs_contig_33851
AFJ25450	BD_contigs_contig_68857
AFJ25469	BD_contigs_contig_98159
AFJ25589	BD_contigs_contig_47103
AFJ25610	BD_contigs_contig_69227
AFJ25613	BD_contigs_contig_94961
AFJ25871	BD_contigs_contig_54546
AFJ25915	BD_contigs_contig_54449
AFJ25940	BD_contigs_contig_74383
AFJ25940	BD_contigs_contig_46875
AFJ26056	BD_contigs_contig_40839
AFJ26140	BD_contigs_contig_67315
AFJ26203	BD_contigs_contig_9349
AFJ26203	BD_contigs_contig_9338
AFJ26230	BD_contigs_contig_36690
AFJ26262	BD_contigs_contig_57864
AFJ26263	BD_contigs_contig_82680
AFJ26265	BD_contigs_contig_110099
AFJ26346	BD_contigs_contig_43342
AFJ26346	BD_contigs_contig_43341
AFJ26357	BD_contigs_contig_64764
AFJ26358	BD_contigs_contig_71482
AFJ26363	BD_contigs_contig_93184
AFJ26398	BD_contigs_contig_86594
AFJ26427	BD_contigs_contig_73241
AFJ26478	BD_contigs_contig_36552
AFJ26558	BD_contigs_contig_64032
AFJ26580	BD_contigs_contig_57309
AFJ26633	BD_contigs_contig_20044
AFJ26774	BD_contigs_contig_49067
AFJ26914	BD_contigs_contig_50737
AFJ27005	BD_contigs_contig_108892
AFJ83126	BD_contigs_contig_61679
AFM80658	BD_contigs_contig_64243
AFN44910	BD_contigs_contig_64500
AFN44993	BD_contigs_contig_76372
AFN44993	BD_contigs_contig_87276
AFN44993	BD_contigs_contig_76371
AFN44993	BD_contigs_contig_87277
AFN44993	BD_contigs_contig_87278
AFN45024	BD_contigs_contig_24635
AFN45024	BD_contigs_contig_9245
AFN45068	BD_contigs_contig_94850
AFN45068	BD_contigs_contig_94851
AFN45068	BD_contigs_contig_94846
AFN45068	BD_contigs_contig_94840
AFN45068	BD_contigs_contig_94845
AFN45068	BD_contigs_contig_94852
AFN45135	BD_contigs_contig_92157
AFN45329	BD_contigs_contig_94614
AFN45424	BD_contigs_contig_60674
AFN45429	BD_contigs_contig_11103
AFN45429	BD_contigs_contig_57711
AFN45429	BD_contigs_contig_57710
AFN45460	BD_contigs_contig_84523
AFN45568	BD_contigs_contig_73014
AFN45568	BD_contigs_contig_88002
AFN45692	BD_contigs_contig_37783
AFN45740	BD_contigs_contig_67989
AFN45788	BD_contigs_contig_28761
AFN45847	BD_contigs_contig_80686
AFN45992	BD_contigs_contig_85319
AFN46157	BD_contigs_contig_68286
AFN46157	BD_contigs_contig_46169
AFN46157	BD_contigs_contig_46168
AFN46157	BD_contigs_contig_54411
AFN46157	BD_contigs_contig_46167
AFN46157	BD_contigs_contig_46170
AFN46157	BD_contigs_contig_46146
AFN46224	BD_contigs_contig_71925
AFN46481	BD_contigs_contig_11601
AFN46609	BD_contigs_contig_98736
AFN46724	BD_contigs_contig_93694
AFN46724	BD_contigs_contig_99254
AFN46724	BD_contigs_contig_93696
AFN46804	BD_contigs_contig_93261
AFN46874	BD_contigs_contig_89811
AFN47223	BD_contigs_contig_92884
AFN47484	BD_contigs_contig_98024
AFN47525	BD_contigs_contig_96073
AFR75160	BD_contigs_contig_8587
AFV51072	BD_contigs_contig_109839
AFV90070	BD_contigs_contig_75256
AGC39325	BD_contigs_contig_84107
AGE38499	BD_contigs_contig_99914
AGF87279	BD_contigs_contig_96844
AGJ84236	BD_contigs_contig_43712
AGK70746	BD_contigs_contig_28993
AGL61732	BD_contigs_contig_21594
AGL61752	BD_contigs_contig_97153
AGL61771	BD_contigs_contig_92672
AGL61771	BD_contigs_contig_92672
AGL61771	BD_contigs_contig_65602
AGL61802	BD_contigs_contig_86117
AGL61805	BD_contigs_contig_42461
AGL61826	BD_contigs_contig_29721
AGL61852	BD_contigs_contig_84289
AGL61897	BD_contigs_contig_82654
AGL61918	BD_contigs_contig_71264
AGL61967	BD_contigs_contig_81416
AGL62012	BD_contigs_contig_79259
AGL62029	BD_contigs_contig_47690
AGL62058	BD_contigs_contig_30208
AGL62065	BD_contigs_contig_55382
AGL62112	BD_contigs_contig_60829
AGL62234	BD_contigs_contig_73931
AGL62234	BD_contigs_contig_79234
AGL62256	BD_contigs_contig_94537
AGL62273	BD_contigs_contig_51542
AGL62339	BD_contigs_contig_89514
AGL62339	BD_contigs_contig_42051
AGL62344	BD_contigs_contig_104205
AGL62352	BD_contigs_contig_92241
AGL62361	BD_contigs_contig_113121
AGL62361	BD_contigs_contig_78529
AGL62391	BD_contigs_contig_50417
AGL62404	BD_contigs_contig_67719
AGL62443	BD_contigs_contig_88079
AGL62447	BD_contigs_contig_85625
AGL62465	BD_contigs_contig_66131
AGL62521	BD_contigs_contig_84436
AGL62596	BD_contigs_contig_82328
AGL62613	BD_contigs_contig_86093
AGL62613	BD_contigs_contig_86094
AGL62613	BD_contigs_contig_96472
AGL62631	BD_contigs_contig_71564
AGL62634	BD_contigs_contig_72922
AGL62639	BD_contigs_contig_71104
AGL62667	BD_contigs_contig_59680
AGL62709	BD_contigs_contig_1132
AGL62722	BD_contigs_contig_65769
AGL88613	BD_contigs_contig_110318
AGL89324	BD_contigs_contig_15328
AGL89324	BD_contigs_contig_109609
AGL89324	BD_contigs_contig_14162
AGL89324	BD_contigs_contig_112030
AGM22873	BD_contigs_contig_73720
AGM23951	BD_contigs_contig_39620
AGO01058	BD_contigs_contig_56207
AGP73054	BD_contigs_contig_112421
AGS44332	BD_contigs_contig_27111
AGS44332	BD_contigs_contig_27125
AGS44332	BD_contigs_contig_27125
AGS44337	BD_contigs_contig_75496
AGS44339	BD_contigs_contig_14848
AGT43106	BD_contigs_contig_102945
AGT43106	BD_contigs_contig_102947
AGT43299	BD_contigs_contig_22840
AGT43299	BD_contigs_contig_22842
AGT43338	BD_contigs_contig_65549
AGT44267	BD_contigs_contig_103303
AGT44267	BD_contigs_contig_101927
AGT44607	BD_contigs_contig_70381
AGT44746	BD_contigs_contig_38564
AGT44746	BD_contigs_contig_64358
AGU44175	BD_contigs_contig_20037
AGU73446	BD_contigs_contig_42629
AGU75866	BD_contigs_contig_92249
